resource_id,resource_name,resource_type,cpu_utilization,disk_read_bytes,disk_write_bytes,storage_used_gb,status,timestamp
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/networkSecurityGroups/bitsvm-nsg,bitsvm-nsg,Microsoft.Network/networkSecurityGroups,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549036
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits2,bits2,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549031
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits1,bits1,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549018
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits2,bits2,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 08:48:34.986917
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits1,bits1,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 08:48:34.986907
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits2,bits2,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 08:47:21.155123
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits1,bits1,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 08:47:21.155117
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits2,bits2,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 08:46:35.271721
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits1,bits1,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 08:46:35.271711
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkInterfaces/cloud-cost-opt891_z1,cloud-cost-opt891_z1,Microsoft.Network/networkInterfaces,,0.0,0.0,0.0,unknown,2026-06-27 05:36:38.344159
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_centralindia,NetworkWatcher_centralindia,Microsoft.Network/networkWatchers,,0.0,0.0,0.0,unknown,2026-06-27 05:36:38.344155
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/virtualNetworks/cloud-cost-opt-vnet,cloud-cost-opt-vnet,Microsoft.Network/virtualNetworks,,0.0,0.0,0.0,unknown,2026-06-27 05:36:38.344151
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/publicIPAddresses/cloud-cost-opt-ip,cloud-cost-opt-ip,Microsoft.Network/publicIPAddresses,,0.0,0.0,0.0,unknown,2026-06-27 05:36:38.344146
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,Microsoft.Network/networkSecurityGroups,,0.0,0.0,0.0,unknown,2026-06-27 05:36:38.344141
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-06-27 05:36:38.344131
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/CLOUD-COST-OPT/providers/Microsoft.Compute/disks/cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,Microsoft.Compute/disks,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461382
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Compute/virtualMachines/cloud-cost-opt,cloud-cost-opt,Microsoft.Compute/virtualMachines,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461378
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkInterfaces/cloud-cost-opt891_z1,cloud-cost-opt891_z1,Microsoft.Network/networkInterfaces,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461373
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_centralindia,NetworkWatcher_centralindia,Microsoft.Network/networkWatchers,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461368
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/virtualNetworks/cloud-cost-opt-vnet,cloud-cost-opt-vnet,Microsoft.Network/virtualNetworks,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461363
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/publicIPAddresses/cloud-cost-opt-ip,cloud-cost-opt-ip,Microsoft.Network/publicIPAddresses,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461358
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,Microsoft.Network/networkSecurityGroups,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461351
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-06-26 17:06:54.461336
